;Оригинал;Перевод на казахский;Перевод на русский
466;Бәрі қалталарыңа туседі, арендаға алған хозяйынның тамақты алла өзі кешірсің балдар жемиді бәрі мусорға кетеді ысыраб дурыс тамақ мен көрмедім 😮 мен айта алмаймың пәлеңбай акша бөліңед укметтең ал тамақ сапасы мулдем жоқ;Бәрі қалталарыңа түседі, жалға алған иесіне, тамақты Алла өзі кешірсін, балалар жемейді, бәрі қоқысқа кетеді, ысырап, дурыс тамақ мен көрмедім. Мен айта алмаймын пәленбай ақша бөлінеді үкіметтен, ал тамақ сапасы мүлдем жоқ.;Все уходит в их карманы, арендодател. Пусть Бог его простит, но дети не едят их еду, все отправлется в мусорку, жалко.  Я Не видела нормальной еды. Я не могу сказать, что стольо-то денег выделетс от государства, но качества еды нет.
467;Бізде январдан бастап ішіп жатыр .;Бізде қаңтар айынан бастап ішіп жатыр.;Мы с января начали питаться.
468;Меню да не бар ал айтындаршы соны;Ас мәзірінде де не бар, ал айтыңдаршы соны.;А что есть в меню, скажите.
469;Соны жіті қадағалайтын мамандар бекітілсе екен былтыр 1 сыныпта балаларымыз дым жеген жоқ мүмкін емес болды жеу суға қайнатылған макаронмен каша берді;Соны жіті қадағалайтын мамандар бекітілсе екен, былтыр 1 сыныпта балаларымыз дым жеген жоқ, мүмкін емес болды жеу, суға қайнатылған макаронмен ботқа берді.;Хотелось бы, чтобы это подтвердили специалисты, которые внимательно за этим следят, в прошлом году в 1 классе наши дети не ели, есть было невозможно, давали каши с макаронами, сваренными на воде.
470;Столовойдағы тамақтың качествасы нашар ,дұрыс жасамайды менюдағыдай барлығы жоғарыдағылардан бастап дир, фин. отд, акимат, арендатор доляда отырады, бір екі сэс келсе қана жақсы дайндайды, сэс долясын алып кетеды, екі ортада балдар тойымды, дұрыс менюдағыдағай тамақ болмайды;Асханадағы тамақтың сапасы нашар, дұрыс жасамайды, ас мәзіріндегі барлығы жоғарыдағылардан бастап директор, қаржы бөлімі, акимат, жалға беруші өз үлесінде отырады, бір-екі сэс келсе қана жақсы дайындайды, сэс өз үлесін алып кетеді, екі ортада балалар тойымды, дұрыс ас мәзіріндегідей тамақ болмайды.;Качество еды в столовой плохое. Не готовят так как в меню.Все вышестоящие, начиная с директора, фин.отдела, акимата, арендодателя имеют свою долю.Готовят, когда приходят 1-2 человека с СЭС, СЭС забирают свою долю. В итоге, дети не получают сытную, как положено по меню, еду.
471;Берсін балдардың бәріне, бөліп жармай, доход және басқа деме;Берсін балдардың бәріне, бөліп жармай, кіріс және басқа демей.;Пусть всем детям дают, не разделяя, не морочат, доход или что-то другое.
472;Точно өзін тергейді ма, а то оның орнына айдаладағы басқа біреу кешірім сұрап жүр ғой.;Шынымен өзін тергейді ме, әйтпесе оның орнына айдаладағы басқа біреу кешірім сұрап жүр ғой.;Точно он сам себя будет расследовать, а то кто-то посторонний просит за него прощение.
473;Экс полицей ондай арекетке бармайды, действующий полицей чувствует свою безнаказанность, содан осындай арекеттерге барады.;Бұрын істеген полицей ондай әрекетке бармайды, қазір жұмыстағы полицей өзінің жазасыздығын сезініп жүр, содан осындай арекеттерге барады.;Экс-полицейские не будт делать такого, действующий полицейский чувствует свою безнаказанность, поэтому идет на такие действия.
474;Ит пен мысықтан басқа проблема жоқ па, қаңғып жүрген балаларды айтпайсыңдар ма;Ит пен мысықтан басқа мәселе жоқ па, қаңғып жүрген балаларды айтпайсыңдар ма?;Никаких проблем, кроме собак и кошек, у нас нет. Почему  не говорите о бездомных детях.
475;Ақша жеу ғой, полюбому результат болмайды, нереальные ақшалар жатыр артында;Ақша жеу ғой, бәрібір нәтиже болмайды, мүмкін емес ақшалар жатыр артында.;Лишь бы хапнуть денег? Все равно результата не будет. Нереальные деньги стоят за ними.
476;Чип салатын бір байып қалды десейш 5000 мың жоғары салып уже коррупция осыдан басталады;Чип салатын бір байып қалды десейші, 5000 мың жоғары салып, міне парақорлық осыдан басталады.;Как разбогатели те , кто внедряет чип. Уже за 500000. Вот откуда начинается коррупция.
477;Сыртында Алаш арыстары ишинде пянка емеспа;Сыртында Алаш арыстары, ішінде ішімдік отырыс емес пе?;Снаружи Алашевцы, внутри пьяная посиделка, разве не так.
478;Улы тулгалардын сурети, атымен неге музей, китапхана, бала бакшалар коркемдеомейди? Неге бир кайдагы забегаловкалар ???;Ұлы тұлгалардың суреті, атымен неге мұражай, кітапхана, балабакшаларды көркемдемейді? Неге бір қайдагы арзан кіріп-шығатын жерлер?;Почему не украшают музеи, библиотеки, детсады именами и фотографиями великих личностей?Почему везде какие-то забегаловки.
479;Прям видео түсіріп тұрады да, кішкентай бала сәлем жолдайды, артынша алтыбақан құлайды🙈Ертегілер елін қош көрдік👏;Кәдімгідей видео түсіріп тұрады да, кішкентай бала сәлем жолдайды, артынша алтыбақан құлайды. Ертегілер елін қош көрдік.;Прямо снимают видео, маленький мальчик приветствует, потом качели падают. Добро пожаловать в мир сказок.
480;ол качеля емес, балдар кинали десе;Ол әткеншек емес, балалар кінәлі десей.;Это не качели, виногваты дети.
481;Аллахтан қорықпаиды везде показуха;Аллаһтан қорықпайды, бар жерде көз бояушылық.;Бога не боятся, везде показуха.
482;Мектеп жакта тусирсе,мектептин кришасы ушып кетермеди!!;Мектеп жақта тусірсе, мектептің шатыры ұшып кетер ме еді!;Если будут снимать где школа, вдруг улетит крыша школы.
483;Показуха екени билинип калды)));Көз бояушылық  екені білініп қалды.;Стало ясно, что это показуха.
484;"Шынайы отзывтар....... Бад —дәрілік зат емес
Тәбетті жауып, 💯
жиі шөлдетіп, іштегі қатып қалған шлактарды
тазалайды📌метаболизмді реттеп токсиндерді түзеп, бетті тазалап өмірге деген құлшыныс оянып, өмірге талпын береді сағаттың қоңырауынан да ерте оянып сергек жүресіз";"Шынайы пікірлер. Бад —дәрілік зат емес
Тәбетті жауып, жиі шөлдетіп, іштегі қатып қалған қождарды тазалайды, метаболизмді реттеп, токсиндерді түзеп, бетті тазалап, өмірге деген құлшыныс оянып, өмірге талпын беред,і сағаттың қоңырауынан да ерте оянып сергек жүресіз.";Реальные отзывы. БАД - это не лекарственное средство. Снижает аппетит, вызывает частую жажду, выводит затвердевшие шлаки из организма, регулирует метаболизм, снижает токсины, очищает лицо, пробуждает интерес к жизни, оживляет, будешь просыпаться раньше будильника.
485;"2022-ші жылдың хит продажаларын қолданып көріңіз
Сапасы жақсы өнім БАД тамақпен қосып ішуге де болатын өнім 😊
Барлық сұрақтар бойынша 87776857055 уатсапқа жазыңыз ✍️✍️✍️✍️✍️✍️
Доставка тегін 2 сағат ішінде жеткізіп беремиз";2022-ші жылдың хит саудаларын қолданып көріңіз. Сапасы жақсы өнім БАД тамақпен қосып ішуге де болатын өнім. Барлық сұрақтар бойынша 87776857055 уатсапқа жазыңыз. Жеткізу тегін, 2 сағат ішінде жеткізіп береміз.;Попробуте хит продаж 2022 года. БАД лучшего качества, можно принимать вместе с едой. По всем вопросам обращаться по номеру ватсапа 87776857055. Достава бесплатная, в течение 2 часов.
486;Күлейін десем прямой эфир дейсің ғо;Күлейін десем тікелей эфир дейсің ғой.;Хочу посмеяться, но это прямой эфир.
487;күйеуім постоянно садақа беріп отырады;Күйеуім үнемі садақа беріп отырады.;Мо муж постонно дает садака.
488;мен уже реально біреу бірдене истеп жатыр деп ойлайм ще;Мен расыменде біреу бірдене істеп жатыр деп ойлаймын да.;Я уже реально думаю, что кто-то что-то устраивает.
489;мен өзім алдынғы потерядан енді енді айықтым ба деп ойлағам;Мен өзім алдыңғы айырылғанымнан енді-енді айықтым ба деп ойлағанмын.;Я думаю,что сама еле еле оправилась от предыдущей потери.
490;Может вообще ол емес шығар;Мүмкін, тіпті ол емес шығар.;Может, вообще это не он.
491;Правда причина болезни ешқай жерден таба алмадым;Расында, аурудың себеін еш жерден таба алмадым.;Правда, причину болезни нигде не нашла.
492;От болезни никто же незастрахован, үйде отырған мамалардың да балалары ауырады;Ешкім аурудан сақтандырылмаған, үйде отырған аналардың да балалары ауырады.;От болезни никто же незастрахован, болеют даже дети родителейй, которые сидят дома.
493;оқысам ужасный ауру екен;Оқысам, түрі жаман ауру екен.;Прочитала, это оказывается страшная болезнь.
494;бүгін баламды врачка апарғам ғой;Бүгін баламды дәрігерге апарғанмын.;Сегодня я отведу ребенка к врачу.
495;соған линейная склеродермаға подозрение қойды;Соған сызықты склеродерма болу мүмін деп қойды.;Ему поставили подозрение на линейную склеродерму.
496;Айтамын ғой, вакансияға ылғи қиын предметтер қалады;Айтамын ғой, бос орынға ылғи қиын пәндер қалады.;Говорю же, на вакансию остаютс только трудные предметы.
497;Ол жақтың зарплатасын шамамен білмейсің ба?;Ол жақтың жалақысын шамамен білмейсің бе?;Не знаешь, какая там примерно зарплата?
498;сол казгудегі секілді примерно;Сол ҚазҰУ-дегі секілді шамамен.;Примерно как и в КазГУ.
499;Сәлем, негізі көп уақыт кетпейді екен😅 бүгін кафедраға бардым, тез кетсем екен деген желание болды, уже вообще не хочется в универ оказывается;Сәлем, негізі көп уақыт кетпейді екен, бүгін кафедраға бардым, тез кетсем екен деген ниетім болды, университетке мүлдем барғым келмейді екен.;Привет, на самом деле не требует много времени, сегодня ходила на кафедру, было желание быстро уйти,  уже вообще не хочется в универ оказывается.
500;Бос уақытыңыз бар ма? Оплатасы қанша болады? Барынша сапалы және жылдам уақытта қажет еді;Бос уақытыңыз бар ма? Төлемақысы қанша болады? Барынша сапалы және жылдам уақытта қажет еді.; У вас есть свободное время? Сколько будет оплата? По возможности хотелось бы качественно и быстро.
501;Кстати насчёт развода, иә сен дұрыс айттың маған не разведешься деп. Алдында үй аларда шыққан қарыздар үшін бардым ғой сотқа, прям заявление жазатын жерге, жасай алмадым ғой;Айтпақшы, ажырасу туралы, иә, сен дұрыс айттың маған ажыраспайсың деп. Алдында үй аларда шыққан қарыздар үшін бардым ғой сотқа, дәл арыз жазатын жерге, жасай алмадым ғой.;Кстати, насчет развода, да, ты была права, когда сказала мне, что не разведешься. Я обратилась в суд, прямо к месту написания заявления, за долгами, возникшими по приобретению дома, и не смогла этого сделать.
502;Не обращай внимания деп қайталап ;Назар аударма деп қайталап. ;Повторяя что не обращал внимания.
503;машина алып берип дополнительно таксовкага шыгарсай;Көлік алып беріп, қосымша такси болуға шығаршейші.;Возьмите машину и сделайте дополнительным такси.
504;Оны уже сұрадым, квартира банкте залогта,  төлеп бітпей болмайды деді;Оны қазірдің өзінде сұрадым, пәтер банкте кепілде тұр,  төлеп бітпей болмайды деді.;Я у него уже спрашивала, он сказал, что квартира заложена в банке, и без оплаты ее  невозможно.
505;Просто бар ғой вечный осындай әр статусыма комментарийден шаршап кетем ғой;Жай бар ғой, әрқашан осындай әр күйіме пікірден шаршап кетемін ғой.;Просто, я устала от комментариев по поводу моего статуса.
506;Солай өмір сүрген дұрыс па, менің уже ажырасатын мың причинам болды;Солай өмір сүрген дұрыс па, менің қазірдің өзінде ажырасатын мың себебім болды.;Хорошо ли так жить, у меня уже была тысяча причин развестись.
507;олип талып мугалимге подарок беру деген жок етин;Өліп-талып мұғалімге сыйлық беру деген жоқ етін.;Не было такого, как уставая дарить подарок учителю.
508;сразу 3 праздникке 1000 тенгеден деп 3 мын жинадык ау;Бірден 3 мерекеге 1000 теңгеден деп, 3 мың жинадық-ау.;Мы собрали 3000 тенге из 1000 тенге сразу на 3 праздника.
509;ол жерде все таки бала шагасын акшага окытканнан кеийн, арбир копейканын кадирин билетин ата аналар;Ол жерде қалай болғанда да бала-шағасын ақшаға оқытканнан кейін, әрбір тиынның қадірін білетін ата-аналар.;Родители, которые знают цену каждой копейке, после того, как обучали там своих детей за деньги.
510;Даже люстраларыма қарай беремін ғой, қашан өтеді екен бұл чувство деп қоямын, эйфория;Тіпті люстраларыма қарай беремін ғой, қашан өтеді екен бұл сезім деп қоямын, эйфория.;Я даже смотрю на свои люстры, интересно, когда пройдет это чувство, эйфория.
511;Жасап тастадың ба, негізі ответственность бәрібір сильно перебороть;Жасап тастадың ба, негізі жауапкершілікті бәрібір қиын жеңу.;Сделал ли ты это, перебороть ответственность все равно сложно.
512;Там мышка что ли? Қарамаппын дұрыстап.В спешке побежала;Онда тышқан ба? Қарамаппын дұрыстап. Асығыста жүгірдім.;Там мышка что ли? Не посмотрела как следует. В спешке побежала.
513;[имя], мен ауырып жатырм, если лучше станет, ертең жазам;[есімі], мен аурып жатырмын, егер жақсы болып жатырсам, ертең жазамын.;Я заболел, если мне станет лучше, я напишу завтра.
514;Тоже на декретном , 4 балам бар;Мен де декреттік демалыстамын, 4 балам бар.;Я тоже в декретном отпуске, у меня 4 детей.
515;Озинде не жаналык? Кажется многие в Алмате ?! ;Өзіңде не жаңалық? Көбі Алматыда сияқты?! ;Что нового у тебя? Кажется многие в Алмате?! 
516;Кунде укладка;Күнде шаш сәндеу.;Каждый день укладка.
517;Осы а так дегенди политехтын балаларынан уйренип едим😃;Осы сонымен дегенді политехтың балаларынан үйреніп едім.;Этому а так  я научился у ребят политеха.
518;Осы тортты ұту үшін бүкіл площадька микрофонмен ән айтқанбыз, а так🤣;Осы тәттіні ұту үшін бүкіл алаңда микрофонмен ән айтқанбыз, сонымен.;Чтобы выиграть этот торт, мы пели в микрофон на всю площадь, а так.
519;[имя] очки дэээээрзкий ғой бәрінен;[есімі] көзілдірік ғажап қой бәрінен.;[имя] очки дерзкий из всех.
520;Помните, 100т жинап туган кунге подароктар алушы едик кой;Есіңізде ме, 100 теңгеден жинап, туған күнге сыйлықтар алушы едік қой.;Помните, мы собирали по 100 тенге и покупали подарки на день рождения?
521;Баринде бир-бир мишка пайда болды гой сол кезде;Бәрінде бір-бір қонжық пайда болды ғой сол кезде.;В то время у каждого был по одной мишки.
522;Клубқа не получится менде муж не разрешит честно) да и сама не люблю уже такой шум гам…;Клубқа бара алмаймын, шынымды айтсам, менде күйеуім рұқсат бермейді. Өзім де ондай айқай шуды ұнатпаймын.  ;Я не могу пойти в клуб, честно говоря, муж не разрешит. Да и сама не люблю уже такой шум-гам.
523;Аа [имя] қалай кездесіп жүрдің? Она разве не в Шымкенте? ;Аа [есімі] қалай кездесіп жүрдің? Ол Шымкентте емес пе еді? ;Аа [имя] как вы встречались? Она разве не в Шымкенте? 
524;Ой мен клубқа бармағалы 7 лет как) ;Ой, мен клубқа бармағалы 7 жыл болды.;Ой, прошло 7 лет с тех пор, как я ходила в клуб.
525;Келін тоже человек и иногда надо выйти отдохнуть от них и детей и мужа ;Келін де адам және кейде олардан  да, балалар мен күйеуден демалып, шығып тұруы керек.;Невестка тоже человек и иногда надо выйти отдохнуть от них и детей и мужа 
526;Көреміз помимо мужа уйде свекровка свекр есть));Көреміз, күйеуімнен басқа, үйде ата-енем бар. ;Посмотрим, помимо мужа, дома свекровка, свекр есть.
527;Мужына айт күнде шықпайм ғо деп;Күйеуіңе айт күнде шықпаймын ғой деп.;Скажи своему мужу, что не  выходишь каждый день.
528;Ажептеуір вес жинаппыз ғой кезінде;Әжептеуір салмақ жинаппыз ғой кезінде.;Мы набрали много веса.
529;А то Алматинские все время встречаются коз қыздырып;Әйтпесе, Алматылықтар үнемі кездесіп тұрады, көз қыздырып.;А то Алматинские все время встречаются, заставляют завидовать.
530;У дочи темп поднялась сол үйге едем…;Қызымның қызуы көтеріліді, сол үйге бара жатырмыз.;У дочи температура поднялась, вот домой едем.
531;Кателеспесем еговтан восстановить етесин;Қателеспесем, егов-тан қалпына келтіресің.;Если не ошибаюсь, восстановишь на егов.
532;Ким биледи дипломды восстановить узак уакыт па? Как можно восстановить? ;Кім біледі, дипломды қалпына келтіру ұзақ уакыт па? Қалай қалпына келтіруге болады? ;Кто знает, долго ли придется восстанавливать диплом? Как можно восстановить?
533;Кыздар всем привет) калайсындар?;Қыздар, бәріңе сәлем. Қалайсыңдар?;Всем привет, девочки. Как вы?
534;Күйеуге шығып бір бала туған соң мне кажется барлық айелдің нервтары ойнап кететін сияқты;Күйеуге шығып, бір бала туған соң, маған барлық әйелдің жүйкесі ойнап кететін сияқты көрінеді.;Мне кажется, после замужества и рождения ребенка нервыа каждой женщины перенапрягаются.
535;басқасы басқа сен спокойнасыңғой;Басқасы басқа, сен салмақтысың ғой. ;Другое дело, но вы же спокойный.
536;Ну ка қыздар поактивнее) таржіман клуб [имя] үйреткен тактикасын қолданамыз и вперед давайтееее;Кәне, қыздар, шапшанырақ. Тәржіман клубы [есімі] үйреткен тактикасын қолданамыз және алға басамыз.;Ну ка, девчонки, поактивнее. Воспользуемся тактикой, которой научил клуб Таржиман [имя] и вперед давайте.
537;Наконец-то өз елімізде еркін қазақша сөйлейтін болдық;Ақырында өз елімізде еркін қазақша сөйлейтін болдық.;Наконец-то мы смогли свободно говорить по-казахски в нашей стране.
538;Сол баягы 20 жасар студентки;Сол баягы 20 жасар студент қыздар.;Те же 20-летние студентки.
539;Ертеңге обед пісіріп жатырмын, а так бы с удовольствием;Ертеңге түскі ас пісіріп жатырмын, бұл бір ғанибет болар еді.;Готовлю обед на завтра,  а так бы с удовольствием.
540;Мен босадым бірақ устала как собака;Мен босадым, бірақ ит сияқты шаршадым.;Я освободилась, но устала как собака.
541;Отчеттарың көп болсын! Ақша ғой;Есептерің көп болсын! Ақша ғой.;Пусть у вас будет много отчетов! Это ведь деньги.
542;Я выехала. Такси жоқ. Воскресенье как всегда воскресенье кунге тусип қалады. Опаздаю;Я шықтым. Такси жоқ. Жексенбі әрқашандағыдай жексенбі күнге түсіп қалады. Кешігемін.;Я вьехала. Такси нет. Воскресенье, как всегда, выпадает на воскресенье. Опаздаю
543;Дозвонилась, бұйыртса, алып кететин болды;Телефон соға алдым, бұйыртса, алып кететін болды.;Дозвонилась, если бог даст, заберет.
544;Қыздар , ренжімеңдерші, 2 күн бойы квартальный отчет жасап әлі отырмын. Үлгерем ба деп едім, кажется не получается жақсы демалып қайтыңдар;Қыздар, ренжімеңдерші. 2 күн бойы тоқсандық есеп жасап, әлі отырмын. Үлгеремін бе деп едім, мүмкін болмайтын сияқты, жақсы демалып қайтыңыздар.;Девочки, не расстраивайтесь. Я уже 2 дня делаю квартальный отчет и все еще сижу. Думала, что успею, кажется не получается, хорошо отдохните.
545;Маған қай куни болса да ыңғайлы, отпускте журмин ;Маған қай күні болса да ыңғайлы, еңбек демалысында жүрмін. ;Мне удобен любой день, я в отпуске.
546;Давайте, күйбең тіршілікті, үйдің битпейтин шаруасын бир уақытқа қоя тұрып КЕЗДЕСЕЙІК....;Мүмкін, күйбең тіршілікті, үйдің бітпейтін шаруасын бір уақытқа қоя тұрып, кездсейік. ;Давайте встретимся, отложив в сторону занятую жизнь и бесконечные хлопоты по дому.
547;аудиторный сағат қостыртты учеб отд, сол үшін 15 сағат қостым;аудиторлық сағат қостыртты білім бөлімі, сол үшін 15 сағат қостым.;Отдел образования добавил аудиторные часы, поэтому я добавил 15 часов.
548;Сізге берілген нагрузкада шамалы өзгеріс болды. Қарап көрерсіз;Сізге берілген жүктемеде шамалы өзгеріс болды. Қарап көрерсіз.;Произошло небольшое изменение назначенной вам нагрузки. Посмотрите.
549;Қиын ана документтер терминологиясы бәрі еще біздің старший спец вредный;Қиын ана құжаттар терминологиясы бәрі, және де біздің аға маман ашушаң.;Вся терминология в этих документах сложная, и еще наш старший специалист вредный.
550;Күшті переводчик бар ед ұнатпай отыр соны;Күшті аудармашы бар еді, ұнатпай отыр соны.;Был сильный переводчик, но он не понравился.
551;Жоқ а менде ондай уақыт та жоқ желание да жоқ) ;Жоқ, а менде ондай уақыт та жоқ, ықылас та жоқ.;Нет, у меня нет времени и желания.
552;Но мықты керек адам любой момент ускоренный жасайтын;Бірақ мықты керек адам әр жағдайда  жылдам түрде жасайтын.;Но сильный человек любой момент делал бы ускоренный.
553;Қыздар салем! Кімде жақсы білетін переводчик бар? Именно сфера нефти и газа. ;Қыздар, сәлем! Кімде жақсы білетін аудармашы бар? Тек мұнай-газ саласы бойынша. ;Привет, девочки! У кого есть хороший переводчик? Именно сфера нефти и газа. 
554;Классно! Бирақ бизге жетпид қазиргилер қолдарында телефон тикток инстаграм... біздің кезде живое общение дегендей;Керемет! Бірақ бізге жетпейді, қазіргілер қолдарында телефон, тик-ток, инстаграм... Біздің кезде тікелей байланыс дегендей.;Классно! Им далеко до нас, сейчас у людей есть телефоны, Тик-Ток, Инстаграм... В наше время было живое общение.
555;келеси жылы посвящение болганда жиналайык;Келесі жылы қатарға қосу болғанда жиналайық.;Давай соберемся в следующем году, когда будет посвящение.
556;Ол есимде жок екен. Улкен курстар бирдене уйымдастырган вроде.;Ол есімде жоқ екен. Үлкен курстағылар бірдеме ұйымдастырған сияқты.;Я этого не помню. Кажется, старшие курсанты что-то организовали.
557;Филфактын лекционный залында посвящение болган. Кылышпен посвящать етип ;Филология факултетінің лекция оқитын залында қатарға қабылдау болган. Қылышпен қатарға қабылдау етіп. ;Посвящение проходило в лекционном зале филологического факультета. Посвящение было с мечом.
558;Корсетип жибермедин ба балмұздақтарга как надо;Көрсетіп жібермедің бе балмұздақтарға қалай істеу керек екенін.;Разве ты не показал первокурсникам, как надо?
559;Добрый вечер!!! Калайсындар, қыздар!? Вк аккаунтымды каншама жылдан бери ашып отырм Группаластармен кызык кызык ангиме дукен курган екенбиз. Сижу, читаю, улыбаюсь В общении такие простые, открытые, легкие. Аман болыңдарш барин!!!;Қайырлы кеш!!! Қалайсыңдар, қыздар!? Вконтакте аккаунтымды қаншама жылдан бері ашып отырмын. Группаластармен қызық-қызық әңгіме дүкен құрған екенбіз. Оқып отырып, күлемін. Қарым-қатынаста мұндай қарапайым, ашық, жеңіл.  Аман болыңдаршы бәріңіз!!!;Добрый вечер!!! Как вы, девочки!? Через сколько лет я открываю свой аккаунт Вконтакте. У нас состоялся много интересных разговоров с одногрупниками. Я смеюсь, пока читаю. В общении такие простые, открытые, легкие. Будьте здоровы все!!!
560;Неге ол декабрь 2014 көрсетед казір август болса ;Неге ол желтоқсан 2014 көрсетеді, қазір тамыз болса. ;Почему показывает декабрь 2014 года, а сейчас август.
561;"""Воспоминания и ностальгия вошли в чат"" болайын деп тұр)";"""Естелік пен сағыныш чатқа кірді"" болайын деп тұр.";"Как-будто ""Воспоминания и ностальгия вошли в чат"". "
562;Менин баска суреттерим жок-ау дейм Менде ен кызу кез сол золотая серединадан сон басталды гой озиме карап, озгерип дегендей. Любовь жетиспей журген екен гой. ;Менің басқа суреттерім жоқ-ау деймін. Менде ең қызу кез сол алтын орта түстен соң басталды ғой. Өзіме қарап, өзгеріп дегендей. Махаббат жетіспей жүрген екен ғой. ;Других фотографий у меня нет, самое жаркое время у меня началось с этой золотой середины. Начал ухаживать за собой, стал меняться. Любви не достаточно было.
563;[имя] есинде ма таракпен шашына начес жасайтын един гой;[есімі] есіңде ме, тарақпен шашына тарау жасайтын едің ғой.;[имя] помнишь, с расческой на волосы начес делал.
564;[имя] иши пысып калыпты деп ойлагандарга айтарым - отпусктамын, барин актарып шыктым;[есімі] Іші пысып қалыпты деп ойлағандарға айтарым - еңбек демалысындамын, бәрін ақтарып шықтым.;[имя] Всем, кто думает, что мне скучно, говорю - я в отпуске, все прочитал.
565;бул кыздар Алматыда емес кой к сожалению;Бұл қыздар Алматыда емес қой, өкінішке орай. ;К сожалению, этих девушек нет в Алматы.
566;Всегда пжст. Кездескеде млн суретке түсірем если хочешь. Менің хоббиім боп кеткен, байқаған шығарсың;Оқасы жоқ. Кездескеде миллион суретке түсіремін, егер қаласаң. Менің әуес ісім болып кеткен, байқаған шығарсың;Всегда пожалуйста. Если хотите, я сделаю миллион фотографий на встрече. Это стало моим хобби, вы могли заметить.
567;Мен де талай кызыктар тусиргем. Бари ески компымда калып кетти гой. Может уже и нет;Мен де талай қызыктар түсіргенмін. Бәрі ескі компьютерімде қалып кетті гой. Мүмкін жоқ та шығар.;Я тоже снял много интересного. Все осталось на моем старом компьютере. Может уже и нет.
568;Қой мен барсам барине жар салам ғой всегда;Қой, мен барсам, бәріне жар саламын ғой әрқашанда.;Да ладно, если я пойду, я всегда всем об этом объявлю.
569;Обязательно. Үндемей келіп,кету жоқ.Шымкентке кірсең болды узнаю ;Міндетті түрде. Үндемей келіп кету жоқ. Шымкентке кірсең болды, танимын. ;Обязательно. У нас не принято приходить и уходить молча. Приедешь в Шымкент, узнаю.
570;Мен мына приложениемен бара алмаймын ау ;Мен мына қосымшамен бара алмаймын-ау.;Я не могу пойти с этим приложением.
571;Менің жігітім өткенде астанада күн суықта поехал в шым когда там жарко было и влюбился;Менің жігітім өткенде Астанада күн суықта Шымкентте күн ыстық болғанда барып, ғашық болып қалды.;Мой парень недавно поехал в холодную погоду в Астане в Шымкент, когда там было жарко, и влюбился.
572;Бұрын менің жұмысым жақта еді сары здание министерство жақта;Бұрын менің жұмысым жақта еді, сары ғимарат, министерлік жақта.;Раньше был рядом с моей работой, желтое здание, на стороне министерства.
573;Көрмейсің ба) я бы хотела попробовать... кореміз хотим бир бизнес начать посмотреть если нет то попробую;Көрмейсің ба? Мен көргім келеді. Көреміз. Бір кәсіп бастағымыз келеді. Қарағымыз келеді, егер болмаса, көреміз. ;Ты не видишь? Я бы хотела попробовать. Попробуем.  Хотим начать один бизнес, посмотреть если нет, то попробую.
574;кете берем ғой возможность болса ;Кете беремін ғой мүмкіндік болса. ;Я уйду, если у меня будет возможность.
575;Қыздар мына кісі менің коллегам... профессиональный коуч международник! Обучилась! Если нужно обращайтесь! Я ее лично знаю! И даю гарантию что она профессионал;Қыздар мына кісі менің әріптесім. Кәсіби халықаралық бапкер! Тәлім алдым! Егер көмек қажет болса, хабарласыңыздар! Мен оны жеке танимын! Және де оның кәсіби маман екеніне кепілдеме беремін.;Девочки, этот человек - моя коллега. Профессиональный тренер международного уровня! Обучилась! Если нужно обращайтесь! Я ее лично знаю! И даю гарантию что она профессионал.
576;Қорғауға придумаю че нибудь ;Қорғауға бір нәрсе ойлап табармын.;Я придумаю что-нибудь на защиту.
